,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,animalID,exptname
5,1.8851674999999999,T,30.0,3.2053422370617692,17.364501953125,,,,,20200129,20200129_002
7,2.2789474999999997,T,10.0,3.9816360601001666,15.44189453125,,,,,20200129,20200129_002
9,2.6727274999999997,T,-20.0,,,,,,,20200129,20200129_002
11,3.0664874999999996,T,-40.0,,,,,,,20200129,20200129_002
13,3.4602674999999996,T,-10.0,5.734557595993322,15.5029296875,,,,,20200129,20200129_002
15,3.8540474999999996,T,-5.0,5.133555926544241,13.519287109375,,,,,20200129,20200129_002
17,4.2478275,T,-30.0,,,,,,,20200129,20200129_002
19,4.6415875,T,40.0,2.9048414023372287,15.3656005859375,,,,,20200129,20200129_002
21,5.0353674999999996,T,5.0,4.106844741235392,16.082763671875,,,,,20200129,20200129_002
23,5.4291275,T,20.0,3.4307178631051753,16.6015625,,,,,20200129,20200129_002
25,5.8229275,T,0.0,4.757929883138564,16.3116455078125,,,,,20200129,20200129_002
32,7.201127499999999,T,30.0,3.1552587646076793,18.218994140625,,,,,20200129,20200129_002
34,7.5948875,T,10.0,3.9565943238731216,17.6544189453125,,,,,20200129,20200129_002
36,7.988667499999999,T,-20.0,8.038397328881468,15.7623291015625,,,,,20200129,20200129_002
38,8.3824475,T,-40.0,,,,,,,20200129,20200129_002
40,8.7762275,T,-10.0,5.984974958263773,16.2811279296875,,,,,20200129,20200129_002
42,9.1700275,T,-5.0,5.358931552587646,16.1590576171875,,,,,20200129,20200129_002
44,9.563767499999999,T,-30.0,,,,,,,20200129,20200129_002
46,9.957547499999999,T,40.0,2.9298831385642736,17.6849365234375,,,,,20200129,20200129_002
48,10.351327499999998,T,5.0,4.131886477462437,18.0206298828125,,,,,20200129,20200129_002
50,10.745127499999999,T,20.0,3.4557595993322203,17.5628662109375,,,,,20200129,20200129_002
52,11.138867499999998,T,0.0,4.757929883138564,16.9219970703125,,,,,20200129,20200129_002
59,12.517087499999999,T,30.0,3.1552587646076793,16.8609619140625,,,,,20200129,20200129_002
61,12.9108475,T,10.0,4.056761268781302,16.387939453125,,,,,20200129,20200129_002
63,13.304627499999999,T,-20.0,8.313856427378965,14.83154296875,,,,,20200129,20200129_002
65,13.6984275,T,-40.0,,,,,,,20200129,20200129_002
67,14.09217,T,-10.0,5.584307178631051,15.3350830078125,,,,,20200129,20200129_002
69,14.485947499999998,T,-5.0,5.208681135225376,14.404296875,,,,,20200129,20200129_002
71,14.8797275,T,-30.0,,,,,,,20200129,20200129_002
73,15.273527499999998,T,40.0,2.8797996661101837,15.3350830078125,,,,,20200129,20200129_002
75,15.667287499999999,T,5.0,4.232053422370617,14.0380859375,,,,,20200129,20200129_002
77,16.061047499999997,T,20.0,3.5308848080133552,14.6331787109375,,,,,20200129,20200129_002
79,16.454827499999997,T,0.0,4.7328881469115185,13.85498046875,,,,,20200129,20200129_002
86,17.8330275,T,30.0,3.1552587646076793,14.0228271484375,,,,,20200129,20200129_002
88,18.2268275,T,10.0,,,,,,,20200129,20200129_002
90,18.6205875,T,-20.0,7.7629382303839725,12.5579833984375,,,,,20200129,20200129_002
92,19.0143675,T,-40.0,,,,,,,20200129,20200129_002
94,19.4081475,T,-10.0,5.909849749582637,13.36669921875,,,,,20200129,20200129_002
96,19.801927499999998,T,-5.0,5.058430717863105,14.6636962890625,,,,,20200129,20200129_002
98,20.195727499999997,T,-30.0,,,,,,,20200129,20200129_002
100,20.589467499999998,T,40.0,2.9048414023372287,15.6707763671875,,,,,20200129,20200129_002
102,20.983247499999997,T,5.0,4.282136894824708,14.16015625,,,,,20200129,20200129_002
